"ID","MassDiff","Compound_Name","superclass","class","MElaS_0v3v24","MElaS_0v12v24","organ","parasite_species","infected_parasites","Type"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",21.03436687,0,"Proximal_Colon","CL","1000","early_elastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",23.30754459,0,"Heart_A","JR","1000","early_elastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0,1.025609418,"Duodenum","JR","1000","inelastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0,13.42232323,"Jejunum","JR","1000","late_elastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0,9.83201313,"Heart_A","CL","1000","late_elastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",13.48597499,0,"Proximal_Colon","JR","100","early_elastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0.631149474,0.037921778,"Duodenum","JR","100","inelastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0,0.50824225,"Esophagus","CL","1000","inelastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0.049786873,11.28582227,"Heart_D","JR","1000","late_elastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0.633408621,1.626365927,"Heart_D","CL","100","inelastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0.358282526,0.28445336,"Esophagus","CL","100","inelastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0,1.378570659,"Heart_A","JR","100","inelastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",9.794452348,0.012306342,"Upper_Stomach","JR","100","early_elastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",4.096832293,1.418729713,"Heart_A","CL","100","inelastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0,0,"Heart_D","JR","100","inelastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",1.485036024,1.869824028,"Heart_C","JR","1000","inelastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0.163731093,1.583490673,"Heart_C","CL","1000","inelastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0,0.873441533,"Esophagus","JR","100","inelastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0.050860119,0.249542212,"Duodenum","CL","100","inelastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0,0,"Jejunum","CL","1000","inelastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0,0,"Esophagus","JR","1000","inelastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0,0.15431066,"Duodenum","CL","1000","inelastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0.492153783,0,"Heart_C","CL","100","inelastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",13.51337085,5.15073396,"Jejunum","CL","100","early_elastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",6.024405324,1.005062924,"Upper_Stomach","JR","1000","inelastic"
"X531.4071_3.95_49",0.00109863,"Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14","N/A","N/A",0,10.37456985,"Heart_D","CL","1000","late_elastic"
